Day_of_Month,Month,year,Airline,Origin,Destination,Departure_Delay,Arrival_Delay,Cancelled,Rain_at_Origin,Rain_at_Dest,Incentive_Pay,Time_in_Air
1,12,2012,United,LAS,SFO,10,6,0,0,0,1,64
10,8,2012,United,SFO,DEN,5,2,0,0,0,0,111
27,11,2012,United,SFO,LAX,0,6,0,0,0,1,58
4,9,2012,United,ORD,ATL,0,-18,0,0,0,0,81
13,7,2012,United,SFO,DEN,0,14,0,0,0,0,123
31,1,2012,United,JFK,LAX,0,-14,0,0,1,0,321
16,10,2012,United,LAS,LAX,1,-1,0,0,0,1,40
1,6,2012,United,LAS,ORD,5,-16,0,0,1,0,168
29,2,2012,United,LAS,DEN,0,-4,0,0,0,0,83
1,11,2012,United,LAX,ORD,1,22,0,0,0,1,197
21,8,2012,United,LAX,DEN,0,3,0,0,1,0,109
1,9,2012,United,ORD,LAX,65,92,0,0,0,0,222
20,3,2012,United,LAX,LAS,0,-2,0,0,0,0,45
9,11,2012,United,LAX,JFK,2,-2,0,0,1,1,270
4,4,2012,United,LAX,DEN,0,-6,0,0,0,0,109
9,8,2012,United,JFK,LAX,,,1,0,0,0,
14,4,2012,United,LAX,SFO,27,37,0,1,1,0,66
16,8,2012,United,LAX,BOS,,,1,0,1,0,
4,12,2012,United,ORD,ATL,2,14,0,0,1,1,90
17,5,2012,United,LAS,LAX,,,1,0,0,0,
22,11,2012,United,SFO,ORD,-2,-10,0,1,0,1,210
14,4,2012,United,SFO,EWR,19,52,0,1,0,0,311
2,5,2012,United,LAX,SFO,84,69,0,0,1,0,55
26,10,2012,United,LAX,SFO,7,13,0,1,1,1,64
20,3,2012,United,LAX,LAS,0,-5,0,0,0,0,43
10,7,2012,United,SFO,MIA,138,111,0,0,1,0,278
7,3,2012,United,SFO,DEN,0,-7,0,1,0,0,114
1,8,2012,United,ORD,EWR,55,69,0,0,1,0,102
15,3,2012,United,JFK,LAX,0,-6,0,0,0,0,325
1,8,2012,United,ORD,MCO,125,120,0,0,0,0,119
4,9,2012,United,SFO,LAS,63,77,0,0,0,0,60
28,6,2012,United,ORD,SFO,6,32,0,1,0,0,255
9,6,2012,United,LAX,BOS,1,-1,0,0,0,0,294
19,4,2012,United,ORD,SFO,5,17,0,1,0,0,252
17,2,2012,United,LAX,ORD,3,-9,0,1,0,0,189
